ENinIT;MM;en;;
inherit;;;dziedziczyć;
attribute;;;atrybut;
extend;;;rozszerzać;
base class;;;klasa bazowa;
derived class;;;klasa pochodna;
derived class;;;klasa pochodna;
single inheritance;;;dziedziczenie pojedyncze;
define;;;definiować;
inheritance hierarchy;;;hierarchia dziedziczenia;
available;;;dostępny;
reference types;;;typy referencyjne;
declare a variable;;;zadeklarować zmienną;
dispose of;;;pozbyć się;
static constructor;;;static constructor;
initialize;;;zainicjować;
static data;;;dane statyczne;
creating a new instance;;;utworzenie nowej instancji;
finalizer;;;finalizator;
instance;;;instancja;
other members;;;inni członkowie;
widoczny;;;widoczny;
accessibility;;;dostępność;
implicit inheritance;;;niejawne dziedziczenie;
dependencies;;;zależności;
endpoint;;;punkt końcowy;
visibility;;;widoczność;
nested;;;zagnieżdżony;
compile;;;skompilować;
compiler error;;;błąd kompilatora;
inaccessible;;;niedostępny;
protection level;;;poziom ochrony;
interface;;;interfejs;
override;;;nadpisanie;
abstract;;;abstrakcyjny;
base class implementation;;;implementacja klasy bazowej;
keyword;;;słowo kluczowe;
implement;;;implementować;
capable to retrieve data;;;zdolny do pobierania danych;
handle the request;;;obsłużyć żądanie;
obsolete;;;przestarzały;
versioning;;;wersjonowanie;
backwards compatibility;;;kompatybilność wsteczna;
interchangeably;;;wymiennie;
dependency injection;;;wstrzykiwanie zależności;
design patterns;;;wzorce projektowe;
inversion of control;;;odwrócenie zależności;
container;;;kontener;
built-in;;;wbudowany;
dependency tree;;;drzewo zależności;
current directory;;;bieżący katalog;
square brackets;;;nawiasy kwadratowe;
infrastructure;;;infrastruktura;
scope;;;zasięg;
extension method;;;metoda rozszerzająca;
encapsulation;;;hermetyzacja;
private field;;;pole prywatne;
validation;;;walidacja;
anonymous method;;;metoda anonimowa;
prevent;;;zapobiegać;
processing the request;;;przetwarzanie żądania ;
support;;;wspierać ;
allow to;;;pozwalać na;
following;;;następujący ;
depend;;;zależeć ;
affect;;;oddziaływać ;
following example;;;następujący przykład;
attempt;;;próba ;
by default;;;domyślnie ;
in some cases;;;w niektórych przypadkach;
require;;;wymagać ;
applies only to;;;dotyczy tylko;
indicate;;;wskazać ;
consider;;;rozważać;
pieces of code;;;kawałki kodu;
necessary;;;niezbędny ;
convention;;;konwencja;
it's up to you;;;to zależy od ciebie;
as mentioned above;;;jak wspomniano powyżej;
major concerns;;;główne obawy;
encounter a problem;;;napotkać problem;
aware;;;świadomy ;
complex behavior;;;złożone zachowanie;
accomplished by;;;osiągnięty poprzez;
colon;;;dwukropek;
class A defines a method named Method1;;;klasa A definiuje metodę o nazwie Method1;
providing an alternate implementation;;;zapewnienie alternatywnej implementacji;
intent;;;zamiar ;
prerequisites;;;warunki wstępne;
retrieving data from the web;;;pobieranie danych z internetu;
functionality of the application;;;funkcjonalność aplikacji ;
to achieve;;;osiągnąć ;
scattered;;;porozrzucany ;
approach;;;podejście ;
taking advantage of;;;czerpać korzyści z;
eliminate the need;;;eliminować potrzebę;
perform checks;;;wykonywać kontrole;
complement;;;uzupełniać ;
appending;;;dołączanie ;
enforce;;;egzekwować ;
trigger certain behaviors;;;wywołać pewne zachowania;
type D can inherit from type C;;;typ D może dziedziczyć po typie C;
Each class must define its own constructor;;;Każda klasa musi zdefiniować własny konstruktor;
unit tests;;;testy jednostkowe;
integration tests;;;testy integracyjne;
regression tests;;;testy regresyjne;
manual tests;;;testy manualne;
accessibility tests;;;testy dostępności;
acceptance tests;;;testy akceptacyjne;
automated tests;;;testy automatyczne ;
load tests;;;testy obciążeniowe;
performance tests;;;testy wydajnościowe;
scalability testing;;;testy skalowalności;
static tests;;;testy statyczne;
dynamic tests;;;testy dynamiczne;
usability tests;;;testy użyteczności;
test case suite;;;zestaw przypadków testowych;
test suite;;;zestaw testów;
automation tool;;;narzędzie do automatyzacji;
test data;;;dane testowe;
tests report;;;raport z testów;
test scenario;;;scenariusz testowy;
complexity;;;złożoność;
test execution;;;wykonanie testu;
defect;;;defekt;
in the field of;;;"w dziedzinie; obszarze";
develop skills;;;rozwijać umiejętności;
cooperate with;;;współpracować z;
gain experience;;;zdobywać doświadczenie;
duties;;;obowiązki ;
competencies;;;kompetencje ;
sense of responsibility;;;poczucie odpowiedzialności;
allow;;;pozwalać ;
in my case;;;w moim przypadku;
failure;;;porażka ;
strengths;;;mocne strony ;
weaknesses;;;słabe strony;
get paid;;;dostać zapłatę;
salary;;;pensja ;
gross;;;brutto ;
Can you tell me something about yourself?;;;Czy możesz coś o sobie powiedzieć?;
Why would you like to work for our company?;;;Dlaczego chciałbyś pracować dla naszej firmy?;
Have you applied for other jobs lately?;;;Czy starasz się o pracę w innych firmach?;
How you handle working under pressure?;;;Jak radzisz sobie z pracą pod presją?;
Could you describe your strengths and weaknesses?;;;Czy mógłbyś opisać swoje mocne i słabe strony? ;
What motivates you at work?;;;Co Cię motywuje w pracy?;
Where do you see yourself in 3 years’ time?;;;Gdzie widzisz siebie za 3 lata?;
What was your greatest achievement?;;;Jakie było twoje największe osiągnięcie?;
Why should I hire you?;;;Dlaczego powinienem Cię zatrudnić?;
What benefits will you bring to our company?;;;Jakie korzyści przyniesiesz naszej firmie?;
How much would you like to earn?;;;Ile chciałbyś zarabiać?;
What does success mean to you?;;;Co dla Ciebie oznacza sukces?;
Do you prefer working independently or as part of a team?;;;Czy preferujesz pracować niezależnie czy jako część zespołu?;
What is your greatest strength?;;;Co jest twoją najmocniejsza stroną?;
Why did you resign from previous job?;;;Dlaczego zrezygnowałeś z poprzedniej pracy? ;
How would you describe your last employer?;;;Jak opisałbyś ostatniego pracodawcę?;
Why do you want to change your job?;;;Dlaczego chcesz zmienić pracę?;
What are you responsible for?;;;Za co jesteś odpowiedzialny?;
Why do you want to work here?;;;Dlaczego chcesz tutaj pracować?;
What are you responsible for?;;;Za co jesteś odpowiedzialny?;
Why do you want to work here?;;;Dlaczego chcesz tutaj pracować?;
What do you know about our company?;;;Co wiesz na temat naszej firmy?;
What are you interested in?;;;Czym się interesujesz?;
My qualifications make me a perfect candidate for this position.;;;"Moje umiejętności sprawiają; że jestem doskonałym kandydatem na to stanowisko";
I am ready to work hard.;;;Jestem gotowy ciężko pracować.;
I have ability to learn quickly.;;;Szybko się uczę;
I am eager to take on new challenges.;;;Z chęcią podejmuję nowe wyzwania;
I am trying to be more assertive.;;;Staram się być bardziej asertywny;
I set goals and stick to them.;;;Wyznaczam sobie cele i trzymam się ich;
I would like to develop my career in your company.;;;Chciałbym rozwijać swoją karierę w Państwa firmie;
I'm looking to take my career to the next level.;;;Chcę przenieść moją karierę na wyższy poziom;
I would like to continue my career in your company.;;;Chciałbym kontynuować karierę w waszej firmie;
"In my current job I have learned a lot; but now I am ready for new challenges";;;"W mojej obecnej pracy dużo się nauczyłem; jednak teraz jestem gotowy na nowe wyzwania";
It has always been my dream to work for such company.;;;Od zawsze chciałem pracować dla takiej firmy;
I want to get involved in new projects;;;Chcę zaangażować się w nowe projekty;
What is a compiler?;;;Co to jest kompilator?;
What do you know about unit tests?;;;Co wiesz o testach jednostkowych?;
What is the difference between .dll and .exe extensions?;;;Jaka jest różnica między rozszerzeniami .dll i .exe?;
What is the difference between a process and a thread?;;;Jaka jest różnica między procesem a wątkiem?;
What is a recursive function?;;;Co to jest funkcja rekurencyjna?;
Tell me something about multi-threading.;;;Powiedz mi coś o wielowątkowości.;
What is encapsulation?;;;Co to jest enkapsulacja?;
What is the difference between x and y?;;;Jaka jest różnica pomiędzy x oraz y?;
What are variables?;;;Co to są zmienne?;
What are design patterns?;;;Co to są wzorce projektowe? ;
